N. Guzman,Argentina
G. Mercado,Argentina
N. Tagliafico,Argentina
C. Ansaldi,Argentina
L. Biglia,Argentina
F. Fazio,Argentina
E. Banega,Argentina
M. Acuna,Argentina
G. Higuain,Argentina
L. Messi,Argentina
A. Di Maria,Argentina
F. Armani,Argentina
M. Meza,Argentina
J. Mascherano,Argentina
E. Perez,Argentina
M. Rojo,Argentina
N. Otamendi,Argentina
E. Salvio,Argentina
S. Aguero,Argentina
G. Lo Celso,Argentina
P. Dybala,Argentina
C. Pavon,Argentina
W. Caballero,Argentina
M. Ryan,Australia
M. Degenek,Australia
J. Meredith,Australia
T. Cahill,Australia
M. Milligan,Australia
M. Jurman,Australia
M. Leckie,Australia
M. Luongo,Australia
T. Juric,Australia
R. Kruse,Australia
A. Nabbout,Australia
B. Jones,Australia
A. Mooy,Australia
J. Maclaren,Australia
A. Behich,Australia
D. Arzani,Australia
D. Vukovic,Australia
J. Risdon,Australia
T. Sainsbury,Australia
D. Petratos,Australia
J. Irvine,Australia
T. Rogic,Australia
T. Courtois,Belgium
T. Alderweireld,Belgium
T. Vermaelen,Belgium
V. Kompany,Belgium
J. Vertonghen,Belgium
A. Witsel,Belgium
K. De Bruyne,Belgium
M. Fellaini,Belgium
R. Lukaku,Belgium
E. Hazard,Belgium
Y. Carrasco,Belgium
S. Mignolet,Belgium
K. Casteels,Belgium
D. Mertens,Belgium
T. Meunier,Belgium
T. Hazard,Belgium
Y. Tielemans,Belgium
A. Januzaj,Belgium
M. Dembele,Belgium
D. Boyata,Belgium
M. Batshuayi,Belgium
N. Chadli,Belgium
L. Dendoncker,Belgium
Alisson,Brazil
Thiago Silva,Brazil
Miranda,Brazil
"PEDRO
GEROMEL",Brazil
Casemiro,Brazil
Filipe Luis,Brazil
Douglas Costa,Brazil
Renato Augusto,Brazil
Gabriel Jesus,Brazil
Neymar,Brazil
Coutinho,Brazil
Marcelo1,Brazil
Marquinhos,Brazil
Danilo,Brazil
Paulinho,Brazil
Cassio,Brazil
Fernandinho,Brazil
Fred,Brazil
Willian,Brazil
Roberto Firmino,Brazil
Taison,Brazil
FAGNER,Brazil
Ederson,Brazil
D. Ospina,Colombia
C. Zapata,Colombia
A. Murillo,Colombia
S. Arias,Colombia
W. Barrios,Colombia
C. Sanchez,Colombia
C. Bacca,Colombia
A. Aguilar,Colombia
Falcao,Colombia
J. Rodriguez,Colombia
J.Cuadrado,Colombia
C. Vargas,Colombia
"Yerry
MINA",Colombia
L. Muriel,Colombia
M. Uribe,Colombia
J. Lerma,Colombia
J. Mojica,Colombia
F. Diaz,Colombia
C. Borja,Colombia
J. Quintero,Colombia
J. Izquierdo,Colombia
J. Cuadrado,Colombia
D. Sanchez,Colombia
K. Navas,Costa Rica
B. Acosta,Costa Rica
G. Gonzalez,Costa Rica
"Ian
SMITH",Costa Rica
C. Borges,Costa Rica
O. Duarte,Costa Rica
C. Bolanos,Costa Rica
B. Oviedo,Costa Rica
"Daniel
COLINDRES",Costa Rica
B. Rui­z,Costa Rica
J. Venegas,Costa Rica
J. Campbell,Costa Rica
