sofifa_id,short_name,overall,age,club_name,league_name,nationality_name,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure
192883,H. Mkhitaryan,80,31,Roma,Italian Serie A,Armenia,69,60,81,82,72,78
218534,S. Adamyan,74,27,TSG Hoffenheim,German 1. Bundesliga,Armenia,66,22,74,69,60,65
198178,A. Calisir,66,30,IFK Göteborg,Swedish Allsvenskan,Armenia,70,62,38,53,56,64
235989,N. Briasco,66,24,Club Atlético Huracán,Argentina Primera División,Armenia,47,20,64,51,65,60
183593,J. John,68,31,VVV-Venlo,Holland Eredivisie,Aruba,59,26,63,62,62,67
197445,D. Alaba,84,28,FC Bayern München,German 1. Bundesliga,Austria,74,84,73,78,79,84
204923,M. Sabitzer,83,26,RB Leipzig,German 1. Bundesliga,Austria,77,64,83,83,65,80
184200,M. Arnautović,82,31,Shanghai Port FC,Chinese Super League,Austria,77,38,79,81,79,82
225375,K. Laimer,82,23,RB Leipzig,German 1. Bundesliga,Austria,85,84,71,77,54,79
201922,M. Hinteregger,80,27,Eintracht Frankfurt,German 1. Bundesliga,Austria,82,77,67,65,61,74
223724,S. Lainer,80,27,Borussia Mönchengladbach,German 1. Bundesliga,Austria,88,74,66,60,45,75
211147,V. Lazaro,79,24,Borussia Mönchengladbach,German 1. Bundesliga,Austria,65,71,76,75,67,77
228336,F. Grillitsch,78,24,TSG Hoffenheim,German 1. Bundesliga,Austria,50,75,70,82,50,81
189606,J. Baumgartlinger,77,32,Bayer 04 Leverkusen,German 1. Bundesliga,Austria,82,77,62,64,59,77
173474,Z. Junuzović,76,32,FC Red Bull Salzburg,Austrian Football Bundesliga,Austria,71,70,69,75,70,79
233195,X. Schlager,76,22,VfL Wolfsburg,German 1. Bundesliga,Austria,77,78,74,76,56,72
169324,A. Ulmer,75,34,FC Red Bull Salzburg,Austrian Football Bundesliga,Austria,69,75,73,65,36,75
189060,A. Dragović,75,29,Bayer 04 Leverkusen,German 1. Bundesliga,Austria,74,78,63,65,65,73
193254,C. Trimmel,75,33,1. FC Union Berlin,German 1. Bundesliga,Austria,75,70,65,65,59,69
195038,F. Kainz,75,27,1. FC Köln,German 1. Bundesliga,Austria,55,24,70,69,72,69
215522,A. Schlager,75,24,LASK Linz,Austrian Football Bundesliga,Austria,26,13,6,34,22,33
223671,S. Posch,75,23,TSG Hoffenheim,German 1. Bundesliga,Austria,66,77,36,36,38,68
242187,C. Baumgartner,75,20,TSG Hoffenheim,German 1. Bundesliga,Austria,50,34,71,76,65,73
194665,S. Ilsanker,74,31,Eintracht Frankfurt,German 1. Bundesliga,Austria,87,77,46,53,37,62
199439,M. Gregoritsch,74,26,FC Augsburg,German 1. Bundesliga,Austria,58,33,72,73,64,68
199729,D. Royer,74,30,New York Red Bulls,USA Major League Soccer,Austria,71,43,76,69,72,74
199813,G. Trauner,74,28,LASK Linz,Austrian Football Bundesliga,Austria,81,71,65,58,49,66
199909,P. Pervan,74,32,VfL Wolfsburg,German 1. Bundesliga,Austria,28,15,5,31,14,30
210475,M. Prietl,74,28,DSC Arminia Bielefeld,German 1. Bundesliga,Austria,77,73,57,65,44,71
216175,C. Stanković,74,27,FC Red Bull Salzburg,Austrian Football Bundesliga,Austria,25,22,10,37,20,23
224271,T. Goiginger,74,27,LASK Linz,Austrian Football Bundesliga,Austria,54,37,70,74,62,65
229071,K. Onisiwo,74,28,1. FSV Mainz 05,German 1. Bundesliga,Austria,75,49,76,66,44,71
231838,M. Wöber,74,22,FC Red Bull Salzburg,Austrian Football Bundesliga,Austria,77,71,52,58,42,67
